CODIGO_ENTIDAD|NOMBRE|PERIODO_LICENCIAMIENTO|DEPARTAMENTO_LOCAL|DENOMINACION_PROGRAMA|TIPO_GESTION|ESTADO_LICENCIAMIENTO|CODIGO_FILIAL|NOMBRE_FILIAL|DEPARTAMENTO_FILIAL|PROVINCIA_FILIAL|CODIGO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION|TIPO_AUTORIZACION_LOCAL|TIPO_NIVEL_ACADEMICO|NIVEL_ACADEMICO|CODIGO_CLASE_PROGRAMA_N2|NOMBRE_CLASE_PROGRAMA_N2|TIPO_AUTORIZACION_PROGRAMA|TIPO_AUTORIZACION_PROGRAMA_LOCAL
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|PSICOLOGÍA DE LA SALUD|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL03|LIMA|SAN ISIDRO|-12.091066|-77.052041|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
42|UNIVERSIDAD NACIONAL DEL SANTA|6|ÁNCASH|SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERÍA MENCIÓN CUIDADO INTEGRAL INFANTIL: CRECIMIENTO Y DESARROLLO|PÚBLICO|LICENCIA OTORGADA|S|UNS-ÁNCASH|ÁNCASH|SANTA|SL01|SANTA|NUEVO CHIMBOTE|-9.1195533|-78.5133704|DECLARADO|POSGRADO|SEGUNDA ESPECIALIDAD|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
12|UNIVERSIDAD NACIONAL DEL ALTIPLANO|6|PUNO|DOCTORADO EN CIENCIA, TECNOLOGÍA Y MEDIO AMBIENTE|PÚBLICO|LICENCIA OTORGADA|S|UNA-PUNO|PUNO|PUNO|SL01|PUNO|PUNO|-15.8243805|-70.0162544|AUTORIZADO POR LIC.|POSGRADO|DOCTORADO|52|MEDIO AMBIENTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
46|UNIVERSIDAD PRIVADA ANTENOR ORREGO|6|LA LIBERTAD|PSIQUIATRÍA|PRIVADO|LICENCIA OTORGADA|S|UPAO-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL01|TRUJILLO|TRUJILLO|-8.1270487|-79.0314756|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
68|UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.|6|LIMA|SEGUNDA ESPECIALIDAD EN RADIOLOGÍA|PRIVADO|LICENCIA OTORGADA|S|UCS-LIMA|LIMA|LIMA|SL04|LIMA|MIRAFLORES|-12.1194134|-77.0261271|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
46|UNIVERSIDAD PRIVADA ANTENOR ORREGO|6|PIURA|INGENIERÍA CIVIL|PRIVADO|LICENCIA OTORGADA|F01|UPAO-PIURA|PIURA|PIURA|F01L01|PIURA|PIURA|-5.1782884|-80.6548882|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|73|ARQUITECTURA Y CONSTRUCCIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
71|UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE|6|UCAYALI|INGENIERÍA AGRARIA CON MENCIÓN FORESTAL|PRIVADO|LICENCIA OTORGADA|F02|UCSS-UCAYALI|UCAYALI|ATALAYA|F02L01|ATALAYA|RAYMONDI|-10.7299969|-73.7556001|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|82|SILVICULTURA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
34|UNIVERSIDAD NACIONAL DE SAN MARTÍN|6|SAN MARTÍN|DOCTORADO EN CIENCIAS DE LA EDUCACIÓN|PÚBLICO|LICENCIA OTORGADA|S|UNSM-SAN MARTÍN|SAN MARTÍN|SAN MARTÍN|SL02|SAN MARTÍN|MORALES|-6.484769492|-76.37760713|AUTORIZADO POR LIC.|POSGRADO|DOCTORADO|19|OTROS PROGRAMAS EN EDUCACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
68|UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.|6|LIMA|ENFERMERÍA|PRIVADO|LICENCIA OTORGADA|S|UCS-LIMA|LIMA|LIMA|SL01|LIMA|VILLA EL SALVADOR|-12.2215281|-76.9766998|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
8|PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ|10|LIMA|DOCTORADO EN HISTORIA|PRIVADO|LICENCIA OTORGADA|S|PUCP-LIMA|LIMA|LIMA|SL01|LIMA|SAN MIGUEL|-12.0693438|-77.080122|AUTORIZADO POR LIC.|POSGRADO|DOCTORADO|22|HUMANIDADES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN PSIQUIATRÍA COMUNITARIA Y SOCIAL|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL01|LIMA|SAN MARTÍN DE PORRES|-12.0239471|-77.0564991|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|2|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
12|UNIVERSIDAD NACIONAL DEL ALTIPLANO|6|PUNO|MAESTRÍA EN EDUCACIÓN MENCIÓN EN EDUCACIÓN INTERCULTURAL BILINGÜE|PÚBLICO|LICENCIA OTORGADA|S|UNA-PUNO|PUNO|PUNO|SL01|PUNO|PUNO|-15.8243805|-70.0162544|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|19|OTROS PROGRAMAS EN EDUCACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
7|UNIVERSIDAD NACIONAL AGRARIA LA MOLINA|8|LIMA|INGENIERÍA EN GESTIÓN EMPRESARIAL|PÚBLICO|LICENCIA OTORGADA|S|UNALM-LIMA|LIMA|LIMA|SL01|LIMA|LA MOLINA|-12.0817493|-76.9431895|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
15|UNIVERSIDAD CATÓLICA DE SANTA MARÍA|6|AREQUIPA|MAESTRÍA EN SALUD OCUPACIONAL Y DEL MEDIO AMBIENTE|PRIVADO|LICENCIA OTORGADA|S|UCSM-AREQUIPA|AREQUIPA|AREQUIPA|SL02|AREQUIPA|AREQUIPA|-16.4048982|-71.5498378|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|2|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
5|UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA|10|AREQUIPA|CIENCIAS DE LA COMUNICACIÓN CON ESPECIALIDAD EN PERIODISMO|PÚBLICO|LICENCIA OTORGADA|S|UNSA-AREQUIPA|AREQUIPA|AREQUIPA|SL02|AREQUIPA|AREQUIPA|-16.4086078|-71.5285764|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|32|PERIODISMO E INFORMACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
13|UNIVERSIDAD NACIONAL DE PIURA|6|PIURA|MAESTRÍA EN SALUD PÚBLICA CON MENCIÓN EN EDUCACIÓN MÉDICA|PÚBLICO|LICENCIA OTORGADA|S|UNP-PIURA|PIURA|PIURA|SL01|PIURA|CASTILLA|-5.179311|-80.6188325|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|2|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
15|UNIVERSIDAD CATÓLICA DE SANTA MARÍA|6|AREQUIPA|ENFERMERÍA EN PEDIATRÍA|PRIVADO|LICENCIA OTORGADA|S|UCSM-AREQUIPA|AREQUIPA|AREQUIPA|SL01|AREQUIPA|AREQUIPA|-16.4061786|-71.5476298|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|92|BIENESTAR|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
1|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|10|LIMA|CIENCIAS DE LA GESTIÓN ECONÓMICO EMPRESARIAL|PÚBLICO|LICENCIA OTORGADA|S|UNMSM-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|-12.0560257|-77.0844226|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
55|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|6|LA LIBERTAD|INGENIERÍA AMBIENTAL|PRIVADO|LICENCIA OTORGADA|S|UPN-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL03|TRUJILLO|TRUJILLO|-8.0950664|-79.0498645|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|52|MEDIO AMBIENTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|PSICOLOGÍA ESCOLAR Y PROBLEMAS DE APRENDIZAJE|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|6|SAN MARTÍN|DERECHO|PRIVADO|LICENCIA OTORGADA|F07|UPCV-SAN MARTÍN|SAN MARTÍN|MOYOBAMBA|F07L03|MOYOBAMBA|MOYOBAMBA|-6.032752051|-76.97476265|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
61|UNIVERSIDAD PRIVADA NORBERT WIENER S.A.|6|LIMA|SEGUNDA ESPECIALIDAD EN GESTIÓN DE SERVICIOS DE SALUD Y ENFERMERÍA|PRIVADO|LICENCIA OTORGADA|S|UPNW-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|-12.0697607|-77.0374712|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
1|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|10|LIMA|COMPUTACIÓN E INFORMÁTICA|PÚBLICO|LICENCIA OTORGADA|S|UNMSM-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|-12.0560257|-77.0844226|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|61|INFORMÁTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
6|UNIVERSIDAD NACIONAL DE INGENIERÍA|10|LIMA|MAESTRÍA EN CIENCIAS EN INGENIERÍA DE SISTEMAS|PÚBLICO|LICENCIA OTORGADA|S|UNI-LIMA|LIMA|LIMA|SL01|LIMA|RÍMAC|-12.0220074|-77.0493646|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|61|INFORMÁTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERÍA EN SALUD OCUPACIONAL|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL01|LIMA|SAN MARTÍN DE PORRES|-12.0239471|-77.0564991|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|2|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
54|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|6|LIMA|DISEÑO PROFESIONAL DE INTERIORES|PRIVADO|LICENCIA OTORGADA|S|UPC-LIMA|LIMA|LIMA|SL07|LIMA|SAN MIGUEL|-12.0810086|-77.0707359|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|21|ARTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
55|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|6|LIMA|COMUNICACIÓN AUDIOVISUAL EN MEDIOS DIGITALES|PRIVADO|LICENCIA OTORGADA|F02|UPN-LIMA|LIMA|LIMA|F02L01|LIMA|LOS OLIVOS|-11.9646093|-77.0675632|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|21|ARTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
19|UNIVERSIDAD DE SAN MARTÍN DE PORRES|6|LIMA|NEUROCIRUGÍA|PRIVADO|LICENCIA OTORGADA|S|USMP-LIMA|LIMA|LIMA|SL01|LIMA|SANTA ANITA|-12.045948|-76.9681914|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
61|UNIVERSIDAD PRIVADA NORBERT WIENER S.A.|6|LIMA|TECNOLOGÍA MÉDICA EN LABORATORIO CLÍNICO Y ANATOMÍA PATOLÓGICA|PRIVADO|LICENCIA OTORGADA|S|UPNW-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|-12.0697607|-77.0374712|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
65|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|6|ICA|INGENIERÍA INDUSTRIAL|PRIVADO|LICENCIA OTORGADA|F05|UTP-ICA|ICA|ICA|F05L01|ICA|ICA|-14.07546|-75.7341811|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|72|INDUSTRIA Y PRODUCCIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
4|UNIVERSIDAD NACIONAL DE TRUJILLO|8|LA LIBERTAD|TURISMO|PÚBLICO|LICENCIA OTORGADA|S|UNT-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL01|TRUJILLO|TRUJILLO|-8.1142716|-79.0383735|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|1|SERVICIOS PERSONALES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
27|UNIVERSIDAD NACIONAL DEL CALLAO|6|CALLAO|SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERÍA EN CRECIMIENTO, DESARROLLO DEL NIÑO Y ESTIMULACIÓN DE LA PRIMERA INFANCIA|PÚBLICO|LICENCIA OTORGADA|S|UNC-CALLAO|CALLAO|PROV. CONST. DEL CALLAO|SL01|PROV. CONST. DEL CALLAO|BELLAVISTA|-12.0612769|-77.1173082|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|92|BIENESTAR|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
19|UNIVERSIDAD DE SAN MARTÍN DE PORRES|6|LIMA|CIRUGÍA PEDIÁTRICA|PRIVADO|LICENCIA OTORGADA|S|USMP-LIMA|LIMA|LIMA|SL01|LIMA|SANTA ANITA|-12.045948|-76.9681914|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|6|LIMA|ADMINISTRACIÓN|PRIVADO|LICENCIA OTORGADA|F05|UPCV-LIMA|LIMA|LIMA|F05L03|LIMA|ATE|-12.0228788|-76.9105401|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
1|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|10|LIMA|INGENIERÍA GEOGRÁFICA|PÚBLICO|LICENCIA OTORGADA|S|UNMSM-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|-12.0560257|-77.0844226|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|53|CIENCIAS FÍSICAS Y QUÍMICAS|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
69|UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO|6|LAMBAYEQUE|MAESTRÍA EN INGENIERÍA INDUSTRIAL CON MENCIÓN EN GESTIÓN DE OPERACIONES Y LOGÍSTICA|PRIVADO|LICENCIA OTORGADA|S|UCSTM-LAMBAYEQUE|LAMBAYEQUE|CHICLAYO|SL01|CHICLAYO|CHICLAYO|-6.760456|-79.863203|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
19|UNIVERSIDAD DE SAN MARTÍN DE PORRES|6|LIMA|ENFERMERÍA EN SALUD PÚBLICA|PRIVADO|LICENCIA OTORGADA|S|USMP-LIMA|LIMA|LIMA|SL01|LIMA|SANTA ANITA|-12.045948|-76.9681914|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|2|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|MAESTRÍA EN MEDICINA|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
19|UNIVERSIDAD DE SAN MARTÍN DE PORRES|6|LIMA|RELACIONES PÚBLICAS|PRIVADO|LICENCIA OTORGADA|S|USMP-LIMA|LIMA|LIMA|SL06|LIMA|SURQUILLO|-12.1052364|-77.0177466|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
30|UNIVERSIDAD RICARDO PALMA|6|LIMA|ESPECIALIDAD: MEDICINA NUCLEAR|PRIVADO|LICENCIA OTORGADA|S01|URP-LIMA|LIMA|LIMA|S01L01|LIMA|SANTIAGO DE SURCO|-12.1318458|-76.9796463|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
16|UNIVERSIDAD NACIONAL DE CAJAMARCA|6|CAJAMARCA|MEDICINA OCUPACIONAL Y DEL MEDIO AMBIENTE|PÚBLICO|LICENCIA OTORGADA|S01|UNC-CAJAMARCA|CAJAMARCA|CAJAMARCA|S01L01|CAJAMARCA|CAJAMARCA|-7.167159|-78.4965043|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|2|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
46|UNIVERSIDAD PRIVADA ANTENOR ORREGO|6|LA LIBERTAD|PEDIATRÍA|PRIVADO|LICENCIA OTORGADA|S|UPAO-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL01|TRUJILLO|TRUJILLO|-8.1270487|-79.0314756|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
2|UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA|6|AYACUCHO|MAESTRÍA EN GERENCIA DE SERVICIOS DE SALUD|PÚBLICO|LICENCIA OTORGADA|S|UNSCH-AYACUCHO|AYACUCHO|HUAMANGA|SL01|HUAMANGA|AYACUCHO|-13.1612654|-74.2257339|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
12|UNIVERSIDAD NACIONAL DEL ALTIPLANO|6|PUNO|MAESTRÍA EN CONTABILIDAD Y ADMINISTRACIÓN MENCIÓN EN MARKETING Y NEGOCIOS INTERNACIONALES|PÚBLICO|LICENCIA OTORGADA|S|UNA-PUNO|PUNO|PUNO|SL01|PUNO|PUNO|-15.8243805|-70.0162544|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
